"id","name","rating","current_price","original_price","discount","ram","rom","features1","features2"
205,"Motorola g04s (Concord Black, 64 GB)","4.3","₹6,999","₹9,999","30%","4 GB RAM "," 64 GB ROM "," Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera "," 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories"
206,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,287","₹1,599","19%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E ProcessorNO WARRANTY",NULL
207,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,199","₹1,599","25%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase",NULL
208,"vivo T3x 5G (Crimson Bliss, 128 GB)","4.5","₹14,999","₹18,999","21%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
209,"vivo T3x 5G (Celestial Green, 128 GB)","4.4","₹16,499","₹20,499","19%","8 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
210,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,244","₹1,599","22%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase",NULL
211,"vivo T3x 5G (Celestial Green, 128 GB)","4.5","₹14,999","₹18,999","21%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
212,"vivo T3x 5G (Celestial Green, 128 GB)","4.4","₹13,499","₹17,499","22%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
213,"realme 12x 5G (Twilight Purple, 128 GB)","4.3","₹14,999","₹18,999","21%","8 GB RAM "," 128 GB ROM "," Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
214,"POCO C65 (Pastel Green, 128 GB)","4.2","₹7,499","₹11,999","37%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
215,"realme 12x 5G (Twilight Purple, 128 GB)","4.4","₹12,999","₹17,999","27%","6 GB RAM "," 128 GB ROM "," Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
216,"realme P1 5G (Peacock Green, 128 GB)","4.4","₹15,999","₹20,999","23%","6 GB RAM "," 128 GB ROM "," Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatteryDimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
217,"Motorola G34 5G (Ocean Green, 128 GB)","4.2","₹11,999","₹14,999","20%","8 GB RAM "," 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatterySnapdragon 695 5G ProcessorVegan Leather Design1 Year on Handset and 6 Months on Accessories",NULL
218,"Motorola G34 5G (Charcoal Black, 128 GB)","4.2","₹11,999","₹14,999","20%","8 GB RAM "," 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories",NULL
219,"Motorola G34 5G (Ice Blue, 128 GB)","4.2","₹11,999","₹14,999","20%","8 GB RAM "," 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories",NULL
220,"POCO M6 Pro 5G (Power Black, 128 GB)","4.3","₹9,999","₹16,999","41%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
221,"POCO C65 (Matte Black, 128 GB)","4.2","₹6,799","₹10,999","38%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
222,"POCO C65 (Pastel Blue, 128 GB)","4.2","₹6,799","₹10,999","38%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
223,"Motorola g04s (Satin Blue, 64 GB)","4.3","₹6,999","₹9,999","30%","4 GB RAM "," 64 GB ROM "," Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera "," 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories"
224,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","4.4","₹18,995","₹21,999","13%","8 GB RAM "," 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
225,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","4.4","₹19,945","₹21,999","9%","8 GB RAM "," 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
226,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","4.4","₹16,932","₹19,999","15%","8 GB RAM "," 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
227,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","4.4","₹16,919","₹19,999","15%","8 GB RAM "," 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
228,"POCO C65 (Pastel Green, 128 GB)","4.2","₹6,799","₹10,999","38%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
229,"Motorola g04s (Concord Black, 64 GB)","4.3","₹6,999","₹9,999","30%","4 GB RAM "," 64 GB ROM "," Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera "," 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories"
230,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,287","₹1,599","19%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E ProcessorNO WARRANTY",NULL
231,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,199","₹1,599","25%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase",NULL
232,"vivo T3x 5G (Crimson Bliss, 128 GB)","4.5","₹14,999","₹18,999","21%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
233,"vivo T3x 5G (Celestial Green, 128 GB)","4.4","₹16,499","₹20,499","19%","8 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
234,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,244","₹1,599","22%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase",NULL
235,"vivo T3x 5G (Celestial Green, 128 GB)","4.5","₹14,999","₹18,999","21%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
236,"vivo T3x 5G (Celestial Green, 128 GB)","4.4","₹13,499","₹17,499","22%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
237,"realme 12x 5G (Twilight Purple, 128 GB)","4.3","₹14,999","₹18,999","21%","8 GB RAM "," 128 GB ROM "," Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
238,"POCO C65 (Pastel Green, 128 GB)","4.2","₹7,499","₹11,999","37%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
239,"realme 12x 5G (Twilight Purple, 128 GB)","4.4","₹12,999","₹17,999","27%","6 GB RAM "," 128 GB ROM "," Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
240,"realme P1 5G (Peacock Green, 128 GB)","4.4","₹15,999","₹20,999","23%","6 GB RAM "," 128 GB ROM "," Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatteryDimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
241,"Motorola G34 5G (Ocean Green, 128 GB)","4.2","₹11,999","₹14,999","20%","8 GB RAM "," 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatterySnapdragon 695 5G ProcessorVegan Leather Design1 Year on Handset and 6 Months on Accessories",NULL
242,"Motorola G34 5G (Charcoal Black, 128 GB)","4.2","₹11,999","₹14,999","20%","8 GB RAM "," 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories",NULL
243,"Motorola G34 5G (Ice Blue, 128 GB)","4.2","₹11,999","₹14,999","20%","8 GB RAM "," 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories",NULL
244,"POCO M6 Pro 5G (Power Black, 128 GB)","4.3","₹9,999","₹16,999","41%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
245,"POCO C65 (Matte Black, 128 GB)","4.2","₹6,799","₹10,999","38%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
246,"POCO C65 (Pastel Blue, 128 GB)","4.2","₹6,799","₹10,999","38%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
247,"Motorola g04s (Satin Blue, 64 GB)","4.3","₹6,999","₹9,999","30%","4 GB RAM "," 64 GB ROM "," Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera "," 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories"
248,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","4.4","₹18,995","₹21,999","13%","8 GB RAM "," 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
249,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","4.4","₹19,945","₹21,999","9%","8 GB RAM "," 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
250,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","4.4","₹16,932","₹19,999","15%","8 GB RAM "," 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
251,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","4.4","₹16,919","₹19,999","15%","8 GB RAM "," 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
252,"POCO C65 (Pastel Green, 128 GB)","4.2","₹6,799","₹10,999","38%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
253,"Motorola g04s (Concord Black, 64 GB)","4.3","₹6,999","₹9,999","30%","4 GB RAM "," 64 GB ROM "," Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera "," 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories"
254,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,287","₹1,599","19%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E ProcessorNO WARRANTY",NULL
255,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,199","₹1,599","25%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase",NULL
256,"vivo T3x 5G (Crimson Bliss, 128 GB)","4.5","₹14,999","₹18,999","21%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
257,"vivo T3x 5G (Celestial Green, 128 GB)","4.4","₹16,499","₹20,499","19%","8 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
258,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,244","₹1,599","22%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase",NULL
259,"vivo T3x 5G (Celestial Green, 128 GB)","4.5","₹14,999","₹18,999","21%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
260,"vivo T3x 5G (Celestial Green, 128 GB)","4.4","₹13,499","₹17,499","22%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
261,"realme 12x 5G (Twilight Purple, 128 GB)","4.3","₹14,999","₹18,999","21%","8 GB RAM "," 128 GB ROM "," Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
262,"POCO C65 (Pastel Green, 128 GB)","4.2","₹7,499","₹11,999","37%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
263,"realme 12x 5G (Twilight Purple, 128 GB)","4.4","₹12,999","₹17,999","27%","6 GB RAM "," 128 GB ROM "," Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
264,"realme P1 5G (Peacock Green, 128 GB)","4.4","₹15,999","₹20,999","23%","6 GB RAM "," 128 GB ROM "," Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatteryDimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
265,"Motorola G34 5G (Ocean Green, 128 GB)","4.2","₹11,999","₹14,999","20%","8 GB RAM "," 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatterySnapdragon 695 5G ProcessorVegan Leather Design1 Year on Handset and 6 Months on Accessories",NULL
266,"Motorola G34 5G (Charcoal Black, 128 GB)","4.2","₹11,999","₹14,999","20%","8 GB RAM "," 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories",NULL
267,"Motorola G34 5G (Ice Blue, 128 GB)","4.2","₹11,999","₹14,999","20%","8 GB RAM "," 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories",NULL
268,"POCO M6 Pro 5G (Power Black, 128 GB)","4.3","₹9,999","₹16,999","41%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
269,"POCO C65 (Matte Black, 128 GB)","4.2","₹6,799","₹10,999","38%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
270,"POCO C65 (Pastel Blue, 128 GB)","4.2","₹6,799","₹10,999","38%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
271,"Motorola g04s (Satin Blue, 64 GB)","4.3","₹6,999","₹9,999","30%","4 GB RAM "," 64 GB ROM "," Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera "," 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories"
272,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","4.4","₹18,995","₹21,999","13%","8 GB RAM "," 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
273,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","4.4","₹19,945","₹21,999","9%","8 GB RAM "," 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
274,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","4.4","₹16,932","₹19,999","15%","8 GB RAM "," 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
275,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","4.4","₹16,919","₹19,999","15%","8 GB RAM "," 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
276,"POCO C65 (Pastel Green, 128 GB)","4.2","₹6,799","₹10,999","38%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
277,"Motorola g04s (Concord Black, 64 GB)","4.3","₹6,999","₹9,999","30%","4 GB RAM "," 64 GB ROM "," Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera "," 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories"
278,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,287","₹1,599","19%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E ProcessorNO WARRANTY",NULL
279,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,199","₹1,599","25%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase",NULL
280,"vivo T3x 5G (Crimson Bliss, 128 GB)","4.5","₹14,999","₹18,999","21%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
281,"vivo T3x 5G (Celestial Green, 128 GB)","4.4","₹16,499","₹20,499","19%","8 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
282,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,244","₹1,599","22%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase",NULL
283,"vivo T3x 5G (Celestial Green, 128 GB)","4.5","₹14,999","₹18,999","21%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
284,"vivo T3x 5G (Celestial Green, 128 GB)","4.4","₹13,499","₹17,499","22%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
285,"realme 12x 5G (Twilight Purple, 128 GB)","4.3","₹14,999","₹18,999","21%","8 GB RAM "," 128 GB ROM "," Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
286,"POCO C65 (Pastel Green, 128 GB)","4.2","₹7,499","₹11,999","37%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
287,"realme 12x 5G (Twilight Purple, 128 GB)","4.4","₹12,999","₹17,999","27%","6 GB RAM "," 128 GB ROM "," Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
